Table 78,,,,,,
Full-time Law Enforcement Employees ,,,,,,
"by State by City, 2006",,,,,,
State,City,Total law enforcement employees,Total officers,Total civilians,,
,Peoria,287,246,41,,
,Peoria Heights,17,12,5,,
,Peotone,11,10,1,,
,Peru,28,21,7,,
,Petersburg,5,5,0,,
,Phoenix,3,1,2,,
,Pinckneyville,8,7,1,,
,Piper City,1,1,0,,
,Pittsfield,6,6,0,,
,Plainfield,70,50,20,,
,Plano,19,17,2,,
,Polo,4,4,0,,
,Pontiac,24,22,2,,
,Pontoon Beach,20,14,6,,
,Port Barrington,1,1,0,,
,Port Byron,2,2,0,,
,Posen,17,15,2,,
,Potomac,1,1,0,,
,Princeton,16,15,1,,
,Prophetstown,4,3,1,,
,Prospect Heights,29,26,3,,
,Quincy,90,76,14,,
,Rantoul,40,31,9,,
,Raymond,1,1,0,,
,Red Bud,6,6,0,,
,Richmond,4,4,0,,
,Richton Park,31,27,4,,
,Ridge Farm,1,1,0,,
,Ridgway,2,2,0,,
,Riverdale,43,32,11,,
,River Forest,32,29,3,,
,River Grove,29,23,6,,
,Riverside,25,19,6,,
,Robbins,19,6,13,,
,Robinson,14,13,1,,
,Rochelle,28,21,7,,
,Rochester,8,8,0,,
,Rockdale,4,4,0,,
,Rock Falls,25,18,7,,
,Rockford,336,304,32,,
,Rock Island,112,84,28,,
,Rockton,13,12,1,,
,Rolling Meadows,80,54,26,,
,Romeoville,84,64,20,,
,Roodhouse,4,4,0,,
,Roscoe,15,13,2,,
,Roselle,52,37,15,,
,Rosemont,94,75,19,,
,Rossville,2,2,0,,
,Round Lake,27,21,6,,
,Round Lake Beach,50,41,9,,
,Round Lake Heights,4,4,0,,
,Round Lake Park,13,11,2,,
,Roxana,6,5,1,,
,Royalton,2,2,0,,
,Rushville,5,5,0,,
,Salem,22,14,8,,
,Sandwich,19,13,6,,
,Sauget,16,15,1,,
,Sauk Village,32,24,8,,
,Savanna,8,8,0,,
,Schaumburg,194,130,64,,
,Schiller Park,38,33,5,,
,Seneca,12,4,8,,
,Sesser,5,4,1,,
,Shawneetown,4,4,0,,
,Shelbyville,7,6,1,,
,Sheridan,3,3,0,,
,Sherman,6,6,0,,
,Shiloh,14,14,0,,
,Shorewood,30,26,4,,
,Silvis,21,14,7,,
,Skokie,142,111,31,,
,Sleepy Hollow,7,6,1,,
,Smithton,5,5,0,,
,Somonauk,3,3,0,,
,South Barrington,18,15,3,,
,South Beloit,16,14,2,,
,South Chicago Heights,12,8,4,,
,South Elgin,38,29,9,,
,Southern View,4,4,0,,
,South Holland,43,41,2,,
,South Jacksonville,6,5,1,,
,South Pekin,2,2,0,,
,South Roxana,5,5,0,,
,Sparta,18,12,6,,
,Springfield,314,271,43,,
,Spring Grove,12,10,2,,
,Spring Valley,14,11,3,,
,St. Anne,3,3,0,,
,Staunton,9,6,3,,
,St. Charles,67,53,14,,
,Steger,24,17,7,,
,Sterling,43,30,13,,
,St. Francisville,1,1,0,,
,Stickney,22,16,6,,
,Stockton,4,4,0,,
,Stone Park,25,19,6,,
,Stonington,1,1,0,,
,Streamwood,70,58,12,,
,Streator,31,24,7,,
,Sugar Grove,17,16,1,,
,Sullivan,10,8,2,,
,Summit,36,31,5,,
,Sumner,2,2,0,,
,Swansea,27,20,7,,
,Sycamore,29,26,3,,
,Taylorville,28,22,6,,
,Thomasboro,1,1,0,,
,Thomson,1,1,0,,
,Thornton,11,9,2,,
,Tilton,3,3,0,,
,Tinley Park,105,76,29,,
,Tolono,4,4,0,,
,Tremont,3,3,0,,
,Trenton,5,5,0,,
,Troy,22,16,6,,
,Tuscola,8,7,1,,
,University Park,19,16,3,,
,Urbana,67,54,13,,
,Valmeyer,2,2,0,,
,Vandalia,18,13,5,,
,Venice,15,11,4,,
,Vernon Hills,70,48,22,,
,Vienna,4,4,0,,
,Villa Grove,5,4,1,,
,Villa Park,54,39,15,,
,Virden,10,6,4,,
,Virginia,1,1,0,,
,Wamac,4,4,0,,
,Warren,4,3,1,,
,Warrensburg,2,2,0,,
,Warrenville,35,29,6,,
,Warsaw,3,3,0,,
,Washburn,2,2,0,,
,Washington,27,19,8,,
,Washington Park,10,7,3,,
,Waterloo,14,14,0,,
,Waterman,2,2,0,,
,Watseka,11,10,1,,
,Wauconda,37,24,13,,
,Waukegan,219,161,58,,
,Wayne,5,5,0,,
,Westchester,48,35,13,,
,West Chicago,65,48,17,,
,West City,8,4,4,,
,West Dundee,24,21,3,,
,Western Springs,28,21,7,,
,West Frankfort,15,11,4,,
,Westmont,56,42,14,,
,West Salem,1,1,0,,
,Westville,3,3,0,,
,Wheaton,93,70,23,,
,Wheeling,89,62,27,,
,White Hall,7,4,3,,
,Williamsfield,2,2,0,,
,Williamsville,3,3,0,,
,Willowbrook,29,25,4,,
,Willow Springs,21,16,5,,
,Wilmette,63,45,18,,
,Wilmington,18,12,6,,
,Winchester,2,2,0,,
,Winfield,23,21,2,,
,Winnebago,6,6,0,,
,Winnetka,37,28,9,,
,Winthrop Harbor,16,11,5,,
,Witt,1,1,0,,
,Wonder Lake,2,1,1,,
,Wood Dale,50,33,17,,
,Woodhull,1,1,0,,
,Woodridge,79,55,24,,
,Wood River,25,19,6,,
,Woodstock,51,38,13,,
,Worden,1,1,0,,
,Worth,25,23,2,,
,Yates City,2,2,0,,
,Yorkville,28,25,3,,
,Zeigler,5,5,0,,
,Zion,63,47,16,,
INDIANA,Albion,6,6,0,,
,Alexandria,17,13,4,,
,Anderson,139,117,22,,
,Angola,21,17,4,,
,Attica,6,6,0,,
,Auburn,30,23,7,,
,Bargersville,6,6,0,,
,Bedford,41,32,9,,
,Beech Grove,41,30,11,,
,Berne,8,7,1,,
,Bloomington,113,78,35,,
,Bluffton,31,20,11,,
,Boonville,15,14,1,,
,Brazil,15,11,4,,
,Bremen,16,12,4,,
,Brownsburg,52,36,16,,
,Burns Harbor,5,4,1,,
,Carmel,115,96,19,,
,Cedar Lake,21,16,5,,
,Charlestown,21,16,5,,
,Chesterfield,7,6,1,,
,Chesterton,24,19,5,,
,Clarksville,43,34,9,,
,Clinton,8,6,2,,
,Columbia City,20,18,2,,
,Columbus,85,78,7,,
,Connersville,33,31,2,,
,Corydon,7,7,0,,
,Crawfordsville,48,31,17,,
,Crown Point,48,37,11,,
,Culver,4,4,0,,
,Danville,24,15,9,,
,Decatur,21,17,4,,
,Delphi,11,7,4,,
,Dyer,33,26,7,,
,East Chicago,124,108,16,,
,Edinburgh,15,10,5,,
,Elkhart,141,118,23,,
,Elwood,20,16,4,,
,Evansville,318,287,31,,
,Fairmount,9,5,4,,
,Fishers,82,75,7,,
,Fort Wayne,456,422,34,,
,Frankfort,42,31,11,,
,Franklin,53,37,16,,
,Garrett,16,12,4,,
,Gary,342,264,78,,
,Gas City,15,11,4,,
,Georgetown,4,4,0,,
,Goshen,60,55,5,,
,Greencastle,17,14,3,,
,Greendale,15,11,4,,
,Greenfield,46,35,11,,
,Greensburg,27,18,9,,
,Greenwood,75,52,23,,
,Griffith,39,31,8,,
,Hagerstown,5,5,0,,
,Hammond,255,201,54,,
,Hartford City,15,13,2,,
,Hebron,8,7,1,,
,Highland,49,40,9,,
,Hobart,71,55,16,,
,Huntington,46,35,11,,
,Indianapolis,"2,434","1,581",853,,
,Jasonville,5,5,0,,
,Jasper,28,20,8,,
,Kendallville,27,18,9,,
,Knox,8,8,0,,
,Kokomo,143,104,39,,
,Lafayette,150,115,35,,
,Lake Station,31,26,5,,
,La Porte,52,42,10,,
,Lawrence,60,53,7,,
,Lebanon,30,29,1,,
,Ligonier,10,9,1,,
,Linton,16,11,5,,
,Long Beach,6,5,1,,
,Loogootee,5,4,1,,
,Lowell,18,13,5,,
,Madison,33,25,8,,
,Marion,86,69,17,,
,Martinsville,29,21,8,,
,Merrillville,66,53,13,,
,Michigan City,107,89,18,,
,Mishawaka,130,100,30,,
,Monticello,17,12,5,,
,Mooresville,27,21,6,,
,Muncie,122,113,9,,
,Munster,50,39,11,,
,Nappanee,22,15,7,,
,New Albany,68,65,3,,
,New Castle,38,35,3,,
,New Chicago,6,2,4,,
,New Whiteland,11,6,5,,
,Noblesville,78,67,11,,
,North Liberty,4,4,0,,
,North Manchester,15,11,4,,
,North Vernon,21,18,3,,
,Plainfield,51,45,6,,
,Plymouth,27,22,5,,
,Portage,76,58,18,,
,Portland,17,13,4,,
,Princeton,17,16,1,,
,Rensselaer,14,9,5,,
,Richmond,86,74,12,,
,Rushville,18,13,5,,
,Salem,17,12,5,,
,Schererville,63,49,14,,
,Scottsburg,13,13,0,,
,Seymour,53,38,15,,
,Shelbyville,52,41,11,,
,South Bend,328,257,71,,
,South Whitley,4,4,0,,
,Speedway,39,30,9,,
,St. John,22,17,5,,
,Tell City,18,11,7,,
,Terre Haute,152,129,23,,
,Tipton,14,12,2,,
,Union City,13,8,5,,
,Vincennes,40,35,5,,
,Wabash,32,26,6,,
,Walkerton,12,7,5,,
,Warsaw,42,35,7,,
,Washington,25,18,7,,
,Waterloo,6,6,0,,
,Westfield,38,33,5,,
,West Lafayette,57,42,15,,
,West Terre Haute,11,10,1,,
,Westville,3,3,0,,
,Whiting,25,18,7,,
,Winchester,17,12,5,,
,Winona Lake,5,5,0,,
IOWA,Adel,9,8,1,,
,Albia,7,6,1,,
,Algona,16,10,6,,
,Altoona,24,22,2,,
,Ames,71,49,22,,
,Anamosa,8,7,1,,
,Ankeny,50,43,7,,
,Atlantic,14,12,2,,
,Audubon,3,3,0,,
,Belle Plaine,4,4,0,,
,Belmond,4,4,0,,
,Bettendorf,57,44,13,,
,Bloomfield,4,4,0,,
,Boone,18,17,1,,
,Burlington,55,42,13,,
,Camanche,6,6,0,,
,Carlisle,5,5,0,,
,Carroll,16,15,1,,
,Carter Lake,10,9,1,,
,Cedar Falls,40,38,2,,
,Cedar Rapids,223,189,34,,
,Centerville,17,12,5,,
,Chariton,7,6,1,,
,Charles City,18,12,6,,
,Cherokee,8,7,1,,
,Clarinda,13,9,4,,
,Clarion,7,6,1,,
,Clear Lake,18,13,5,,
,Clinton,55,46,9,,
,Clive,26,23,3,,
,Coralville,34,30,4,,
,Council Bluffs,123,106,17,,
,Cresco,7,7,0,,
,Creston,16,12,4,,
,Davenport,205,160,45,,
,Decorah,19,12,7,,
,Denison,17,12,5,,
,Des Moines,491,373,118,,
,De Witt,9,9,0,,
,Dubuque,96,90,6,,
,Dyersville,10,6,4,,
,Eagle Grove,7,7,0,,
,Eldridge,7,7,0,,
,Emmetsburg,7,6,1,,
,Estherville,12,12,0,,
,Evansdale,7,6,1,,
,Fairfield,17,13,4,,
,Forest City,8,8,0,,
,Fort Dodge,41,36,5,,
,Fort Madison,23,18,5,,
,Garner,5,5,0,,
,Glenwood,10,9,1,,
,Grinnell,16,14,2,,
,Grundy Center,3,3,0,,
,Hampton,11,6,5,,
,Harlan,9,8,1,,
,Hawarden,4,4,0,,
,Hiawatha,13,12,1,,
,Humboldt,5,5,0,,
,Independence,15,11,4,,
,Indianola,20,18,2,,
,Iowa City,98,71,27,,
,Iowa Falls,14,10,4,,
,Jefferson,7,7,0,,
,Johnston,19,18,1,,
,Keokuk,32,23,9,,
,Knoxville,13,11,2,,
,Le Claire,7,6,1,,
,Le Mars,16,14,2,,
,Leon,3,3,0,,
,Manchester,13,9,4,,
,Maquoketa,17,11,6,,
,Marion,47,38,9,,
,Marshalltown,59,42,17,,
,Mason City,51,46,5,,
,Missouri Valley,6,6,0,,
,Monticello,7,6,1,,
,Mount Pleasant,16,14,2,,
,Mount Vernon,6,6,0,,
,Muscatine,40,37,3,,
,Nevada,9,8,1,,
,New Hampton,7,7,0,,
,Newton,30,24,6,,
,North Liberty,6,6,0,,
,Norwalk,13,11,2,,
,Oelwein,15,10,5,,
,Ogden,3,3,0,,
,Onawa,6,6,0,,
,Orange City,7,7,0,,
,Osage,3,3,0,,
,Osceola,11,10,1,,
,Oskaloosa,19,17,2,,
,Ottumwa,42,35,7,,
,Pella,17,13,4,,
,Perry,20,14,6,,
,Pleasant Hill,15,14,1,,
,Polk City,6,6,0,,
,Red Oak,13,11,2,,
,Rock Rapids,2,2,0,,
,Rock Valley,4,4,0,,
,Sac City,4,4,0,,
,Sergeant Bluff,9,8,1,,
,Sheldon,7,7,0,,
,Shenandoah,8,5,3,,
,Sioux Center,7,7,0,,
,Sioux City,155,125,30,,
,Spencer,26,18,8,,
,Spirit Lake,10,9,1,,
,St. Ansgar,1,1,0,,
,State Center,1,1,0,,
,Storm Lake,21,17,4,,
,Story City,5,5,0,,
,Tama,5,5,0,,
,Tipton,6,6,0,,
,Urbandale,49,45,4,,
,Vinton,8,8,0,,
,Washington,11,10,1,,
,Waterloo,125,115,10,,
,Waukee,12,11,1,,
,Waukon,7,7,0,,
,Waverly,17,16,1,,
,Webster City,17,13,4,,
,West Burlington,11,10,1,,
,West Des Moines,78,63,15,,
,West Liberty,7,6,1,,
,West Union,4,4,0,,
,Williamsburg,6,6,0,,
,Wilton,4,4,0,,
,Windsor Heights,14,13,1,,
,Winterset,8,8,0,,
KANSAS,Abilene,16,14,2,,
,Andover,24,17,7,,
,Anthony,5,5,0,,
,Arkansas City,34,26,8,,
,Atchison,25,23,2,,
,Attica,1,1,0,,
,Atwood,2,2,0,,
,Augusta,31,23,8,,
,Baldwin City,9,8,1,,
,Basehor,10,9,1,,
,Baxter Springs,15,9,6,,
,Bel Aire,12,11,1,,
,Belle Plaine,5,5,0,,
,Belleville,5,5,0,,
,Beloit,9,8,1,,
,Blue Rapids,1,1,0,,
,Bonner Springs,24,23,1,,
,Burden,1,1,0,,
,Burlingame,2,2,0,,
,Burlington,7,7,0,,
,Bushton,1,1,0,,
,Caldwell,4,4,0,,
,Caney,10,6,4,,
,Canton,2,2,0,,
,Carbondale,3,3,0,,
,Cawker City,1,1,0,,
,Chanute,24,20,4,,
,Chapman,4,4,0,,
,Chase,1,1,0,,
,Cheney,4,4,0,,
,Cherokee,1,1,0,,
,Cherryvale,4,4,0,,
,Chetopa,4,4,0,,
,Claflin,2,2,0,,
,Clearwater,6,6,0,,
,Coffeyville,33,26,7,,
,Colby,16,11,5,,
,Coldwater,1,1,0,,
,Columbus,11,9,2,,
,Colwich,3,3,0,,
,Concordia,16,10,6,,
,Conway Springs,2,2,0,,
,Council Grove,6,6,0,,
,Derby,50,36,14,,
,Dodge City,58,44,14,,
,Eastborough,6,6,0,,
,Edwardsville,17,16,1,,
,El Dorado,26,24,2,,
,Ellinwood,5,5,0,,
,Ellis,5,5,0,,
,Ellsworth,6,5,1,,
,Elwood,5,5,0,,
,Emporia,66,45,21,,
,Enterprise,1,1,0,,
,Erie,2,2,0,,
,Eudora,10,9,1,,
,Fairway,11,9,2,,
,Florence,2,1,1,,
,Fort Scott,23,20,3,,
,Fredonia,6,5,1,,
,Frontenac,9,6,3,,
,Galena,11,7,4,,
,Garden City,80,51,29,,
,Garden Plain,3,3,0,,
,Gardner,33,30,3,,
,Garnett,13,9,4,,
,Girard,6,6,0,,
,Goddard,6,6,0,,
,Goodland,11,10,1,,
,Grandview Plaza,5,5,0,,
,Great Bend,33,29,4,,
,Halstead,6,5,1,,
,Harper,3,3,0,,
,Hays,48,31,17,,
,Haysville,29,22,7,,
,Herington,7,6,1,,
,Hesston,7,6,1,,
,Hiawatha,8,7,1,,
,Hill City,3,3,0,,
,Hillsboro,5,5,0,,
,Hoisington,9,7,2,,
,Holcomb,4,3,1,,
,Holton,12,8,4,,
,Horton,10,6,4,,
,Hugoton,8,7,1,,
,Humboldt,6,6,0,,
,Hutchinson,102,69,33,,
,Independence,31,22,9,,
,Inman,2,2,0,,
,Iola,23,14,9,,
,Junction City,67,49,18,,
,Kansas City,472,357,115,,
,Kechi,4,4,0,,
,Kingman,6,6,0,,
,Kiowa,2,2,0,,
,La Crosse,3,3,0,,
,La Cygne,2,2,0,,
,La Harpe,2,2,0,,
,Lake Quivira,3,3,0,,
,Lansing,16,15,1,,
,Larned,12,8,4,,
,Lawrence,174,139,35,,
,Leavenworth,87,63,24,,
,Leawood,77,57,20,,
,Lebo,2,2,0,,
,Lenexa,127,83,44,,
,Le Roy,1,1,0,,
,Lewis,1,1,0,,
,Liberal,48,37,11,,
,Lindsborg,7,6,1,,
,Linn Valley,2,2,0,,
,Little River,1,1,0,,
,Louisburg,9,9,0,,
,Lyndon,3,3,0,,
,Lyons,8,7,1,,
,Macksville,1,1,0,,
,Maize,7,6,1,,
,Marion,5,5,0,,
,Marysville,8,7,1,,
,McPherson,34,28,6,,
,Meade,3,3,0,,
,Medicine Lodge,7,6,1,,
,Merriam,32,28,4,,
,Minneapolis,5,5,0,,
,Mission,32,30,2,,
,Moran,1,1,0,,
,Moundridge,3,3,0,,
,Mount Hope,2,2,0,,
,Mulvane,17,11,6,,
,Neodesha,8,7,1,,
,Newton,36,32,4,,
,Nickerson,2,2,0,,
,North Newton,2,2,0,,
,Norwich,1,1,0,,
,Oakley,11,6,5,,
,Oberlin,4,4,0,,
,Olathe,202,164,38,,
,Osage City,6,6,0,,
,Osawatomie,16,10,6,,
,Osborne,4,4,0,,
,Oswego,5,5,0,,
,Ottawa,34,27,7,,
,Overbrook,2,2,0,,
,Overland Park,294,240,54,,
,Oxford,4,4,0,,
,Paola,22,16,6,,
,Park City,21,19,2,,
,Parsons,29,23,6,,
,Perry,1,1,0,,
,Pittsburg,50,39,11,,
,Plainville,5,5,0,,
,Pleasanton,2,2,0,,
,Prairie Village,57,45,12,,
,Pratt,19,14,5,,
,Protection,1,1,0,,
,Quinter,1,1,0,,
,Richmond,1,1,0,,
,Roeland Park,17,15,2,,
,Rolla,1,1,0,,
,Rose Hill,10,9,1,,
,Rossville,3,3,0,,
,Russell,18,8,10,,
,Salina,104,75,29,,
,Scranton,1,1,0,,
,Sedgwick,2,2,0,,
,Seneca,6,6,0,,
,Shawnee,110,90,20,,
,Silver Lake,2,2,0,,
,Smith Center,3,3,0,,
,South Hutchinson,9,7,2,,
,Spearville,1,1,0,,
,Spring Hill,12,10,2,,
,Stafford,4,4,0,,
,Sterling,5,5,0,,
,St. Francis,5,4,1,,
,St. George,1,1,0,,
,St. John,4,4,0,,
,St. Marys,5,5,0,,
,Stockton,5,5,0,,
,Tonganoxie,9,8,1,,
,Topeka,349,294,55,,
,Towanda,3,3,0,,
,Udall,3,3,0,,
,Ulysses,12,11,1,,
,Valley Falls,2,2,0,,
,Victoria,1,1,0,,
,Wa Keeney,5,5,0,,
,Wakefield,1,1,0,,
,Walton,1,1,0,,
,Wamego,11,7,4,,
,Wathena,2,2,0,,
,Waverly,1,1,0,,
,Wellington,19,16,3,,
,Wellsville,3,3,0,,
,Westwood,8,7,1,,
,Wichita,830,640,190,,
,Winfield,30,22,8,,
,Yates Center,3,3,0,,
KENTUCKY,Adairville,1,1,0,,
,Albany,9,8,1,,
,Alexandria,16,13,3,,
,Allen,1,1,0,,
,Anchorage,15,10,5,,
,Ashland,54,46,8,,
,Auburn,2,2,0,,
,Audubon Park,8,7,1,,
,Augusta,3,3,0,,
,Barbourville,18,14,4,,
,Bardstown,29,23,6,,
,Bardwell,1,1,0,,
,Beattyville,7,5,2,,
,Beaver Dam,7,7,0,,
,Bellefonte,4,4,0,,
,Bellevue,11,10,1,,
,Benham,4,4,0,,
,Benton,9,7,2,,
,Berea,33,26,7,,
,Bloomfield,1,1,0,,
,Booneville,3,3,0,,
,Bowling Green,134,99,35,,
,Brandenburg,4,4,0,,
,Brodhead,1,1,0,,
,Brooksville,1,1,0,,
,Brownsville,4,4,0,,
,Burgin,1,1,0,,
,Burkesville,9,5,4,,
,Burnside,5,5,0,,
,Butler,1,1,0,,
,Cadiz,9,8,1,,
,Calhoun,1,1,0,,
,Calvert City,7,6,1,,
,Campbellsburg,1,1,0,,
,Campbellsville,23,21,2,,
,Campton,1,1,0,,
,Caneyville,1,1,0,,
,Carlisle,8,4,4,,
,Carrollton,9,9,0,,
,Catlettsburg,8,8,0,,
,Cave City,7,7,0,,
,Central City,12,12,0,,
,Clarkson,2,2,0,,
,Clay,1,1,0,,
,Clay City,2,2,0,,
,Clinton,4,4,0,,
,Cloverport,2,2,0,,
,Cold Spring,11,11,0,,
,Columbia,10,10,0,,
,Corbin,29,21,8,,
,Covington,129,106,23,,
,Crab Orchard,1,1,0,,
,Crescent Springs,8,8,0,,
,Crofton,1,1,0,,
,Cumberland,6,6,0,,
,Cynthiana,16,15,1,,
,Danville,31,29,2,,
,Dawson Springs,9,5,4,,
,Dayton,8,8,0,,
,Earlington,2,2,0,,
,Eddyville,6,6,0,,
,Edgewood,12,12,0,,
,Edmonton,7,7,0,,
,Elizabethtown,59,43,16,,
,Elkhorn City,3,2,1,,
,Elkton,5,5,0,,
,Elsmere,10,9,1,,
,Eminence,6,6,0,,
,Erlanger,44,37,7,,
,Eubank,1,1,0,,
,Evarts,4,4,0,,
,Falmouth,8,7,1,,
,Flatwoods,11,10,1,,
,Fleming-Neon,1,1,0,,
,Flemingsburg,7,7,0,,
,Florence,62,58,4,,
,Fort Mitchell,14,13,1,,
,Fort Thomas,24,23,1,,
,Fort Wright,12,11,1,,
,Frankfort,73,68,5,,
,Franklin,23,22,1,,
,Fulton,13,9,4,,
,Gamaliel,1,1,0,,
,Georgetown,57,50,7,,
,Glasgow,48,36,12,,
,Glencoe,1,1,0,,
,Graymoor-Devondale,3,3,0,,
,Grayson,8,8,0,,
,Greensburg,7,7,0,,
,Greenup,3,3,0,,
,Greenville,9,9,0,,
,Guthrie,4,4,0,,
,Hardinsburg,3,3,0,,
,Harlan,13,10,3,,
,Harrodsburg,25,17,8,,
,Hartford,6,6,0,,
,Hawesville,1,1,0,,
,Hazard,25,20,5,,
,Henderson,66,58,8,,
,Hickman,2,2,0,,
,Highland Heights,10,10,0,,
,Hillview,12,12,0,,
,Hindman,2,1,1,,
,Hodgenville,7,7,0,,
,Hopkinsville,80,72,8,,
,Horse Cave,5,5,0,,
,Hustonville,1,1,0,,
,Hyden,8,8,0,,
,Independence,29,28,1,,
,Indian Hills,10,10,0,,
,Inez,3,3,0,,
,Irvine,6,6,0,,
,Irvington,4,4,0,,
,Jackson,14,12,2,,
,Jamestown,5,5,0,,
,Jeffersontown,59,50,9,,
,Jenkins,6,5,1,,
,Junction City,3,3,0,,
,La Center,3,2,1,,
,La Grange,12,12,0,,
,Lakeside Park-Crestview Hills,9,8,1,,
,Lancaster,9,9,0,,
,Lawrenceburg,24,17,7,,
,Lebanon,22,15,7,,
,Lebanon Junction,5,5,0,,
,Leitchfield,17,16,1,,
,Lewisburg,1,1,0,,
,Lewisport,2,2,0,,
,Lexington,641,553,88,,
,Liberty,4,4,0,,
,London,35,32,3,,
,Lone Oak,2,2,0,,
,Louisa,8,8,0,,
,Louisville Metro,"1,408","1,206",202,,
,Loyall,1,1,0,,
,Ludlow,11,10,1,,
,Lynch,2,2,0,,
,Lynnview,2,2,0,,
,Madisonville,48,40,8,,
,Manchester,13,13,0,,
,Marion,6,6,0,,
,Martin,3,3,0,,
,Mayfield,32,24,8,,
,Maysville,30,22,8,,
,Middlesboro,28,24,4,,
,Millersburg,1,1,0,,
,Monticello,9,9,0,,
,Morehead,29,19,10,,
,Morganfield,13,8,5,,
,Morgantown,4,4,0,,
,Mortons Gap,1,1,0,,
,Mount Olivet,1,1,0,,
,Mount Sterling,25,23,2,,
,Mount Vernon,8,8,0,,
,Mount Washington,17,16,1,,
,Muldraugh,3,3,0,,
,Munfordville,4,4,0,,
,Murray,38,32,6,,
,New Castle,1,1,0,,
,New Haven,1,1,0,,
,Newport,53,49,4,,
,Nicholasville,60,53,7,,
,Nortonville,1,1,0,,
,Oak Grove,17,13,4,,
,Olive Hill,6,6,0,,
,Owensboro,129,100,29,,
,Owenton,4,4,0,,
,Owingsville,6,6,0,,
,Paducah,86,72,14,,
,Paintsville,12,11,1,,
,Paris,32,23,9,,
,Park City,1,1,0,,
,Park Hills,5,5,0,,
,Pembroke,1,1,0,,
,Perryville,1,1,0,,
,Pewee Valley,1,1,0,,
,Pikeville,31,22,9,,
,Pineville,8,8,0,,
,Pioneer Village,5,5,0,,
,Pippa Passes,1,1,0,,
,Pleasureville,1,1,0,,
,Powderly,1,1,0,,
,Prestonsburg,16,16,0,,
,Princeton,15,14,1,,
,Prospect,10,9,1,,
,Providence,5,5,0,,
,Raceland,5,5,0,,
,Radcliff,51,38,13,,
,Ravenna,2,2,0,,
,Richmond,81,59,22,,
,Russell,12,12,0,,
,Russell Springs,9,8,1,,
,Russellville,26,24,2,,
,Sadieville,1,1,0,,
,Salyersville,2,2,0,,
,Science Hill,2,2,0,,
,Scottsville,13,13,0,,
,Sebree,2,2,0,,
,Shelbyville,23,22,1,,
,Shepherdsville,21,20,1,,
,Shively,25,20,5,,
,Silver Grove,1,1,0,,
,Smiths Grove,3,3,0,,
,Somerset,36,33,3,,
,Southgate,7,7,0,,
,South Shore,2,2,0,,
,Springfield,12,8,4,,
,Stamping Ground,1,1,0,,
,Stanford,6,6,0,,
,Stanton,8,8,0,,
,St. Matthews,36,30,6,,
,Sturgis,4,4,0,,
,Taylor Mill,11,10,1,,
,Taylorsville,4,4,0,,
,Tompkinsville,10,8,2,,
,Uniontown,2,2,0,,
,Vanceburg,5,5,0,,
,Versailles,48,38,10,,
,Villa Hills,9,8,1,,
,Vine Grove,8,8,0,,
,Wallins,1,1,0,,
,Warsaw,6,6,0,,
,Wayland,1,1,0,,
,West Buechel,8,8,0,,
,West Liberty,13,6,7,,
,West Point,3,3,0,,
,Wheelwright,1,1,0,,
,Whitesburg,6,6,0,,
,Wilder,7,7,0,,
,Williamsburg,13,12,1,,
,Williamstown,7,6,1,,
,Wilmore,8,7,1,,
,Winchester,49,34,15,,
,Wingo,1,1,0,,
,Worthington,4,4,0,,
,Wurtland,1,1,0,,
LOUISIANA,Abbeville,39,37,2,,
,Addis,7,6,1,,
,Alexandria,185,152,33,,
,Amite,25,20,5,,
,Baker,35,34,1,,
,Baldwin,8,7,1,,
,Ball,7,6,1,,
,Basile,11,7,4,,
,Bastrop,39,36,3,,
,Baton Rouge,786,699,87,,
,Bernice,4,4,0,,
,Berwick,11,11,0,,
,Blanchard,4,4,0,,
,Bogalusa,63,38,25,,
,Bossier City,238,198,40,,
,Brusly,8,7,1,,
,Cheneyville,5,4,1,,
,Clinton,8,7,1,,
,Coushatta,5,5,0,,
,Covington,39,30,9,,
,Crowley,40,35,5,,
,Delhi,10,6,4,,
,Denham Springs,35,27,8,,
,De Quincy,14,14,0,,
,De Ridder,28,23,5,,
,Dixie Inn,2,2,0,,
,Erath,12,8,4,,
,Farmerville,12,12,0,,
,Folsom,4,3,1,,
,Franklin,24,23,1,,
,French Settlement,2,2,0,,
,Golden Meadow,5,3,2,,
,Gonzales,35,35,0,,
,Grambling,15,10,5,,
,Gramercy,7,7,0,,
,Gretna,109,85,24,,
,Hammond,102,78,24,,
,Harahan,30,30,0,,
,Haughton,10,7,3,,
,Homer,10,10,0, ,
,Houma,93,75,18,,
,Iowa,14,10,4,,
,Jackson,4,4,0,,
,Jeanerette,14,10,4,,
,Jena,7,6,1,,
,Jennings,35,26,9,,
,Jonesboro,15,11,4,,
,Kaplan,15,15,0,,
,Kenner,222,174,48,,
,Kentwood,9,8,1,,
,Kinder,18,18,0,,
,Lafayette,289,228,61,,
,Lake Charles,184,179,5,,
,Lake Providence,11,7,4,,
,Lecompte,3,3,0,,
,Leesville,33,32,1,,
,Mandeville,44,31,13,,
,Mansfield,15,11,4,,
,Many,13,11,2,,
,Marksville,23,18,5,,
,McNary,2,1,1,,
,Minden,33,32,1,,
,Monroe,225,176,49,,
,Morgan City,57,54,3,,
,Napoleonville,2,2,0,,
,Natchitoches,61,46,15,,
,Newllano,14,13,1,,
,New Orleans,"1,644","1,424",220,,
